37,50,12,1
62,59,3,1
54,4,50,0
51,0,50,0
66,42,24,0
85,70,15,1
17,71,54,0
46,43,2,1
63,26,36,0
79,85,5,1
96,25,70,0
83,68,15,1
15,29,13,1
44,11,33,0
54,0,53,0
46,57,10,1
29,74,44,0
55,59,3,1
37,25,11,1
15,95,80,0
24,73,48,0
85,19,66,0
88,13,74,0
65,5,59,0
9,77,67,0
32,80,47,0
21,25,4,1
42,1,40,0
20,65,44,0
60,43,16,1
10,76,65,0
55,58,2,1
59,14,45,0
70,50,20,0
74,43,30,0
35,8,26,0
23,7,15,1
21,36,15,1
98,93,4,1
16,95,79,0
86,95,9,1
56,4,52,0
90,83,6,1
30,5,24,0
92,3,89,0
34,79,44,0
6,79,73,0
15,0,15,1
67,59,7,1
30,26,3,1
35,70,35,0
64,79,15,1
27,99,71,0
63,33,30,0
62,41,21,0
97,77,20,0
56,81,24,0
17,88,70,0
34,66,31,0
74,63,11,1
96,60,36,0
11,62,51,0
19,72,52,0
97,16,80,0
54,84,29,0
27,40,13,1
51,19,31,0
28,41,12,1
28,23,5,1
82,35,46,0
78,45,32,0
79,29,50,0
77,8,69,0
55,44,11,1
72,41,30,0
98,65,32,0
77,84,6,1
19,98,79,0
85,70,14,1
23,78,54,0
82,87,4,1
95,29,65,0
74,83,9,1
48,25,22,0
29,26,2,1
97,49,48,0
45,14,30,0
36,19,16,1
71,63,8,1
36,58,22,0
47,36,10,1
20,44,24,0
72,79,6,1
91,46,45,0
69,13,55,0
66,16,50,0
45,3,42,0
69,47,21,0
25,7,17,1
45,16,29,0
48,90,41,0
16,14,1,1
44,36,8,1
15,97,82,0
9,96,86,0
49,37,12,1
14,59,44,0
9,95,85,0
91,41,50,0
17,74,57,0
72,28,43,0
71,18,53,0
77,73,3,1
33,25,7,1
77,93,15,1
61,66,5,1
60,23,36,0
30,38,7,1
80,32,47,0
74,77,3,1
61,39,22,0
55,67,12,1
82,72,10,1
60,28,31,0
4,52,48,0
83,26,56,0
59,56,2,1
63,90,27,0
94,32,61,0
21,40,19,1
35,71,36,0
15,49,34,0
57,85,28,0
13,67,54,0
5,21,16,1
68,77,8,1
31,90,59,0
6,91,84,0
19,27,7,1
23,84,60,0
65,19,46,0
23,79,55,0
10,80,69,0
66,75,8,1
24,27,3,1
42,32,10,1
81,22,58,0
27,50,22,0
20,81,60,0
99,68,31,0
52,78,25,0
43,18,24,0
96,32,63,0
44,16,28,0
64,0,64,0
80,10,69,0
78,6,71,0
62,85,22,0
93,37,55,0
83,57,25,0
79,41,37,0
12,60,48,0
53,92,39,0
36,73,37,0
36,60,24,0
43,76,33,0
3,6,2,1
89,10,78,0
41,89,48,0
63,97,33,0
50,24,26,0
14,18,3,1
58,70,11,1
84,17,67,0
31,37,5,1
9,34,25,0
54,63,8,1
86,98,12,1
15,68,53,0
8,35,27,0
13,44,31,0
51,27,24,0
