15,1,13,1
47,36,10,1
94,29,65,0
78,63,15,1
76,13,62,0
67,81,13,1
74,27,47,0
29,4,25,0
99,12,87,0
18,78,59,0
74,34,39,0
66,68,1,1
79,0,79,0
46,69,22,0
27,2,25,0
40,55,15,1
72,59,12,1
96,7,89,0
53,2,50,0
56,12,44,0
76,46,30,0
60,97,36,0
38,3,34,0
73,94,21,0
30,42,12,1
24,67,43,0
80,21,58,0
13,36,22,0
97,46,51,0
74,41,33,0
74,88,13,1
32,76,44,0
88,56,31,0
61,2,59,0
86,65,20,0
46,76,29,0
4,88,83,0
21,44,22,0
45,10,35,0
7,79,72,0
40,37,3,1
20,45,24,0
39,14,25,0
25,19,5,1
3,89,85,0
49,5,44,0
56,70,13,1
18,71,52,0
93,88,5,1
67,71,4,1
81,75,6,1
11,36,25,0
41,42,1,1
76,40,35,0
13,53,40,0
33,26,7,1
26,38,11,1
91,98,6,1
91,3,87,0
15,37,22,0
10,52,41,0
28,80,52,0
61,64,2,1
49,39,10,1
27,27,0,1
62,22,40,0
98,88,10,1
82,51,31,0
70,40,30,0
64,39,25,0
17,52,34,0
51,97,46,0
61,77,16,1
50,34,15,1
67,70,3,1
2,20,18,1
10,7,2,1
12,67,55,0
58,33,25,0
16,81,65,0
92,23,69,0
17,12,4,1
57,63,6,1
83,22,61,0
86,10,75,0
81,7,73,0
44,53,8,1
18,61,42,0
91,26,64,0
3,40,37,0
11,36,25,0
79,61,17,1
48,56,8,1
48,28,19,1
13,40,26,0
38,7,30,0
99,53,45,0
22,56,33,0
